Stock,Entry_Date,Price_3Mo_Ago,Price_Today,Strategy_Return_%,Above_50SMA_At_Entry
HFCL,2026-04-10,84.4,214.48,154.12,YES
DEEDEV,2026-04-09,312.3,704.35,125.54,YES
VIJIFIN,2026-04-08,3.22,6.95,115.84,YES
BALAMINES,2026-04-10,1071.19,2194.2,104.84,YES
KERNEX,2026-04-10,1167.25,2378.8,103.8,YES
BHAGYANGR,2026-04-09,184.97,371.5,100.84,YES
BBOX,2026-04-10,523.75,994.95,89.97,YES
ASTRAMICRO,2026-04-09,1011.05,1848.5,82.83,YES
SKMEGGPROD,2026-04-10,174.64,314.6,80.14,YES
VENUSREM,2026-04-09,976.95,1720.9,76.15,YES
VINDHYATEL,2026-04-09,1158.45,2032.9,75.48,YES
IOLCP,2026-04-10,82.12,142.96,74.09,YES
AVALON,2026-04-10,1058.35,1788.3,68.97,YES
SUVEN,2026-04-10,195.52,327.6,67.55,YES
SATIN,2026-04-09,156.15,254.8,63.18,YES
OFSS,2026-04-10,7051.48,11248.0,59.51,YES
GOLDTECH,2026-04-10,40.75,64.47,58.21,YES
RAYMOND,2026-04-10,386.3,607.9,57.36,YES
ACUTAAS,2026-04-10,2362.2,3694.8,56.41,YES
SANGHVIMOV,2026-04-10,297.46,463.25,55.74,YES
ADANIENT,2026-04-10,2085.87,3212.1,53.99,YES
SUPRIYA,2026-04-10,638.75,978.9,53.25,YES
INDSWFTLAB,2026-04-10,140.57,214.16,52.35,YES
SKIPPER,2026-04-09,378.15,574.95,52.04,YES
DEEPAKFERT,2026-04-10,1088.85,1649.3,51.47,YES
KIRLOSENG,2026-04-10,1473.2,2230.8,51.43,YES
WHEELS,2026-04-09,995.6,1491.6,49.82,YES
GOCLCORP,2026-04-08,273.35,403.5,47.61,YES
BANKA,2026-04-08,62.69,92.22,47.1,YES
MOREPENLAB,2026-04-10,40.16,59.07,47.09,YES
SCHNEIDER,2026-04-10,1010.1,1481.6,46.68,YES
MARINE,2026-04-10,191.58,280.3,46.31,YES
SHILPAMED,2026-04-10,420.1,608.95,44.95,YES
ADANIGREEN,2026-04-10,1085.35,1556.2,43.38,YES
SOFTTECH,2026-04-08,305.01,435.0,42.62,YES
THEMISMED,2026-04-10,83.59,118.59,41.87,YES
SUNFLAG,2026-04-10,249.42,353.35,41.67,YES
MGEL,2026-04-09,11.92,16.85,41.36,YES
THYROCARE,2026-04-10,393.87,555.6,41.06,YES
LAURUSLABS,2026-04-10,1097.26,1542.3,40.56,YES
SANSERA,2026-04-10,2337.5,3251.5,39.1,YES
VIJAYA,2026-04-10,981.8,1365.2,39.05,YES
WALCHANNAG,2026-04-10,175.48,243.55,38.79,YES
GOLDIAM,2026-04-10,346.55,480.4,38.62,YES
OPTIEMUS,2026-04-10,377.8,521.55,38.05,YES
CENTUM,2026-04-08,2671.4,3627.0,35.77,YES
SURYODAY,2026-04-09,135.27,182.15,34.66,YES
PRECOT,2026-04-08,549.9,738.85,34.36,YES
BANSALWIRE,2026-04-10,272.52,365.8,34.23,YES
J&KBANK,2026-04-10,123.22,165.2,34.07,YES
GINNIFILA,2026-04-09,40.8,54.65,33.95,YES
ELGIRUBCO,2026-04-09,41.28,55.29,33.94,YES
TEJASNET,2026-04-10,443.45,593.6,33.86,YES
KRISHANA,2026-04-10,114.36,151.85,32.79,YES
UNIPARTS,2026-04-09,491.7,652.45,32.69,YES
CONFIPET,2026-04-10,55.97,74.17,32.52,YES
NETWEB,2026-04-10,3346.2,4427.4,32.31,YES
NACLIND,2026-04-10,166.26,218.4,31.36,YES
HIRECT,2026-04-10,840.4,1092.2,29.96,YES
MUNJALAU,2026-04-08,76.5,99.39,29.92,YES
SUNDRMBRAK,2026-04-09,628.85,816.75,29.88,YES
MOLDTKPAC,2026-04-09,544.28,704.85,29.5,YES
AKSHOPTFBR,2026-04-08,5.1,6.6,29.41,YES
MEGASTAR,2026-04-10,283.75,366.7,29.23,YES
EXIDEIND,2026-04-10,322.84,416.6,29.04,YES
SPORTKING,2026-04-09,138.99,179.34,29.03,YES
GUFICBIO,2026-04-10,302.85,389.95,28.76,YES
JINDALSAW,2026-04-10,203.0,260.95,28.55,YES
TRENT,2026-04-10,2607.15,3340.6,28.13,YES
KIMS,2026-04-10,664.25,850.65,28.06,YES
PRITIKAUTO,2026-04-09,12.84,16.42,27.88,YES
APTECHT,2026-04-10,81.52,104.22,27.84,YES
KHAITANLTD,2026-04-08,104.82,134.0,27.84,YES
JTLIND,2026-04-10,64.38,82.29,27.82,YES
SUTLEJTEX,2026-04-09,29.87,38.15,27.72,YES
MAHABANK,2026-04-10,69.53,88.53,27.33,YES
MOTILALOFS,2026-04-09,761.15,968.35,27.22,YES
THERMAX,2026-04-10,3628.77,4607.5,26.97,YES
VMART,2026-04-09,628.75,797.9,26.9,YES
PRIVISCL,2026-04-09,2915.8,3694.9,26.72,YES
NEULANDLAB,2026-04-10,14951.0,18944.0,26.71,YES
VISAKAIND,2026-04-09,62.99,79.59,26.36,YES
ADANIPOWER,2026-04-10,175.81,221.79,26.15,YES
PATELENG,2026-04-10,27.08,34.01,25.59,YES
ANGELONE,2026-04-10,280.99,352.25,25.36,YES
MANINDS,2026-04-10,465.8,582.55,25.06,YES
TVSELECT,2026-04-10,405.05,506.35,25.01,YES
FMNL,2026-04-08,8.36,10.45,25.0,YES
DSSL,2026-04-10,1055.2,1316.9,24.8,YES
ZYDUSLIFE,2026-04-10,915.4,1140.6,24.6,YES
MORARJEE,2026-04-09,7.1,8.84,24.51,YES
GULFPETRO,2026-04-08,31.1,38.66,24.31,YES
ATGL,2026-04-10,580.85,721.75,24.26,YES
POLYCAB,2026-04-10,7691.51,9548.5,24.14,YES
NDRAUTO,2026-04-09,715.35,887.8,24.11,YES
SCI,2026-04-10,243.29,301.75,24.03,YES
GEOJITFSL,2026-04-10,64.21,79.52,23.84,YES
PIXTRANS,2026-04-08,1462.2,1810.6,23.83,YES
ASHIANA,2026-04-09,315.85,389.9,23.44,YES
SARLAPOLY,2026-04-10,84.06,103.63,23.28,YES
MSPL,2026-04-08,34.75,42.81,23.19,YES
PNBHOUSING,2026-04-10,864.75,1064.4,23.09,YES
JETFREIGHT,2026-04-09,17.74,21.83,23.06,YES
JSWINFRA,2026-04-10,265.18,326.05,22.95,YES
KOPRAN,2026-04-10,157.39,193.31,22.82,YES
SETCO,2026-04-08,13.09,16.0,22.25,YES
CGPOWER,2026-04-10,731.1,892.55,22.08,YES
KECL,2026-04-09,98.48,119.59,21.44,YES
INDOCO,2026-04-09,201.42,244.0,21.14,YES
DENORA,2026-04-08,726.45,879.05,21.01,YES
PARADEEP,2026-04-10,121.16,146.59,20.99,YES
IGPL,2026-04-08,378.25,454.6,20.19,YES
KINGFA,2026-04-08,4250.8,5108.5,20.18,YES
AUROPHARMA,2026-04-10,1349.4,1620.5,20.09,YES
SSWL,2026-04-10,210.21,252.37,20.06,YES
IVP,2026-04-08,134.96,161.67,19.79,YES
TRIVENI,2026-04-10,383.0,458.65,19.75,YES
NYKAA,2026-04-10,259.49,310.3,19.58,YES
MBAPL,2026-04-10,104.67,125.15,19.57,YES
PAGEIND,2026-04-09,35809.22,42800.0,19.52,YES
POCL,2026-04-10,1191.8,1420.4,19.18,YES
DPWIRES,2026-04-08,154.09,183.64,19.18,YES
BHARATFORG,2026-04-10,1793.36,2136.7,19.15,YES
BALRAMCHIN,2026-04-10,473.5,562.45,18.79,YES
