Stock,Reason
360ONE,Not enough distance above 52-week low
3MINDIA,MA alignment failed (50>150>200)
AADHARHFC,MA alignment failed (50>150>200)
AARTIDRUGS,Not above 150MA/200MA
AARTIIND,No volume surge (0.49x)
AARTIPHARM,Not above 150MA/200MA
AAVAS,MA alignment failed (50>150>200)
ABB,No volume surge (0.75x)
ABBOTINDIA,Not above 150MA/200MA
ABCAPITAL,Too extended above 50MA (11.0%)
ABDL,MA alignment failed (50>150>200)
ABFRL,Not above 150MA/200MA
ABLBL,Insufficient history (259 rows)
ABREL,Not above 150MA/200MA
ABSLAMC,No fresh 50MA crossover in last 10 days
ACC,Not above 150MA/200MA
ACE,MA alignment failed (50>150>200)
ACI,Not above 150MA/200MA
ACMESOLAR,MA alignment failed (50>150>200)
ACUTAAS,Too extended above 50MA (10.7%)
ADANIENSOL,Too extended above 50MA (13.1%)
ADANIENT,MA alignment failed (50>150>200)
ADANIGREEN,No fresh 50MA crossover in last 10 days
ADANIPORTS,No fresh 50MA crossover in last 10 days
ADANIPOWER,No confirmed retest yet
ADVENZYMES,MA alignment failed (50>150>200)
AEGISLOG,MA alignment failed (50>150>200)
AEGISVOPAK,MA alignment failed (50>150>200)
AEQUS,Insufficient history (143 rows)
AETHER,Too extended above 50MA (12.1%)
AFCONS,Not above 150MA/200MA
AFFLE,Not above 150MA/200MA
AGARWALEYE,Not above 150MA/200MA
AGL,Insufficient history (3 rows)
AHLUCONT,Not above 150MA/200MA
AIAENG,Too extended above 50MA (9.0%)
AIIL,Not above 150MA/200MA
AJANTPHARM,No fresh 50MA crossover in last 10 days
AKUMS,Too extended above 50MA (14.9%)
ALIVUS,No fresh 50MA crossover in last 10 days
ALKEM,MA alignment failed (50>150>200)
ALKYLAMINE,MA alignment failed (50>150>200)
ALOKINDS,Not above 150MA/200MA
AMBER,MA alignment failed (50>150>200)
AMBUJACEM,Not above 150MA/200MA
ANANDRATHI,Too extended above 50MA (12.3%)
ANANTRAJ,Not above 150MA/200MA
ANGELONE,No volume surge (0.74x)
ANTHEM,Insufficient history (240 rows)
ANUP,MA alignment failed (50>150>200)
ANURAS,Not above 150MA/200MA
APARINDS,No fresh 50MA crossover in last 10 days
APLAPOLLO,Not above 150MA/200MA
APLLTD,MA alignment failed (50>150>200)
APOLLO,MA alignment failed (50>150>200)
APOLLOHOSP,No fresh 50MA crossover in last 10 days
APOLLOTYRE,Not above 150MA/200MA
APTUS,MA alignment failed (50>150>200)
ARE&M,Not above 150MA/200MA
ARVIND,Too extended above 50MA (10.7%)
ARVINDFASN,Not above 150MA/200MA
ASAHIINDIA,Not above 150MA/200MA
ASHAPURMIN,Not above 150MA/200MA
ASHOKA,Not above 150MA/200MA
ASHOKLEY,Not above 150MA/200MA
ASIANPAINT,No fresh 50MA crossover in last 10 days
ASKAUTOLTD,MA alignment failed (50>150>200)
ASTERDM,No fresh 50MA crossover in last 10 days
ASTRAL,Not above 150MA/200MA
ASTRAMICRO,Too extended above 50MA (27.7%)
ATGL,MA alignment failed (50>150>200)
ATHERENERG,Too extended above 50MA (15.8%)
ATLANTAELE,Insufficient history (191 rows)
ATUL,Not enough distance above 52-week low
AUBANK,No fresh 50MA crossover in last 10 days
AURIONPRO,Not above 150MA/200MA
AUROPHARMA,No fresh 50MA crossover in last 10 days
AVALON,No fresh 50MA crossover in last 10 days
AVANTIFEED,Not above 150MA/200MA
AVL,MA alignment failed (50>150>200)
AWFIS,Not above 150MA/200MA
AWL,Not above 150MA/200MA
AXISBANK,No fresh 50MA crossover in last 10 days
AXISCADES,Not above 150MA/200MA
AZAD,No volume surge (1.11x)
BAJAJ-AUTO,No confirmed retest yet
