Stock,Pick_Date,Price_At_Pick,Evaluation_Date,Price_At_Evaluation,Forward_Return_%,Forward_Return_Net_%,Realistic_Exit_Date,Realistic_Exit_Price,Realistic_Return_%,Realistic_Return_Net_%,Exit_Reason,Holding_Days_Realistic,Pct_Above_50MA_At_Pick,Volume_Surge_Ratio,Avg_Daily_Turnover_Cr,Liquidity_Tier,ATR_14,Stop_Loss_Price,Stop_Loss_%,Suggested_Shares,Capital_Allocated_Rs,Actual_Risk_Rs,Position_Size_Capped,Pct_Of_Capital_Deployed,Conviction_Score,ADX_14,RS_Vs_Nifty,Scan_Date
TARC,2024-06-04,166.5,2025-05-30,170.98,2.69,1.99,2024-08-30,229.24,37.68,36.98,Max_Holding_Period,60,8.7,4.0,16.4,Strong,10.6,134.69,19.11,157,26140.5,4994.28,False,2.61,236.31,27.1,0.0075,2024-06-01
AHLUCONT,2024-06-04,1233.0,2025-05-30,973.0,-21.09,-21.79,2024-08-30,1285.4,4.25,3.55,Max_Holding_Period,60,4.7,2.13,13.31,Strong,63.08,1021.41,17.16,23,28359.0,4866.6,False,2.84,140.44,28.5,0.052,2024-06-01
BOSCHLTD,2024-06-10,30599.95,2025-05-30,31415.0,2.66,1.96,2024-09-05,33720.75,10.2,9.5,Max_Holding_Period,60,1.0,3.06,311.3,Strong,993.9,27618.26,9.74,1,30599.95,2981.69,False,3.06,204.13,28.0,1.3137,2024-06-07
NATCOPHARM,2024-06-10,1116.0,2025-05-30,883.4,-20.84,-21.54,2024-09-05,1555.75,39.4,38.7,Max_Holding_Period,60,8.3,2.71,101.02,Strong,40.7,964.65,13.56,33,36828.0,4994.61,False,3.68,179.29,30.0,0.0465,2024-06-07
BOSCHLTD,2024-06-12,31255.0,2025-05-30,31415.0,0.51,-0.19,2024-09-09,33105.7,5.92,5.22,Max_Holding_Period,60,2.8,2.57,310.0,Strong,1001.75,28249.75,9.62,1,31255.0,3005.25,False,3.13,177.8,25.2,1.34,2024-06-11
ALKEM,2024-06-12,5091.95,2025-05-30,5098.5,0.13,-0.57,2024-09-09,6268.05,23.1,22.4,Max_Holding_Period,60,1.5,2.4,178.35,Strong,183.53,4541.35,10.81,9,45827.55,4955.37,False,4.58,170.47,29.0,0.2178,2024-06-11
NAM-INDIA,2024-06-18,646.6,2025-05-30,740.95,14.59,13.89,2024-09-12,672.35,3.98,3.28,Max_Holding_Period,60,11.8,1.58,73.09,Strong,37.03,535.5,17.18,45,29097.0,4999.34,False,2.91,119.09,27.0,0.0276,2024-06-14
DLF,2024-06-18,881.0,2025-05-30,797.85,-9.44,-10.14,2024-09-12,835.9,-5.12,-5.82,Max_Holding_Period,60,1.9,1.33,424.65,Strong,38.79,764.63,13.21,42,37002.0,4887.45,False,3.7,116.42,27.1,0.0374,2024-06-14
UNITDSPR,2024-06-19,1255.0,2025-05-30,1520.1,21.12,20.42,2024-09-13,1523.35,21.38,20.68,Max_Holding_Period,60,4.7,1.34,190.7,Strong,36.35,1118.13,10.91,36,45180.0,4927.43,False,4.52,114.55,33.3,0.0532,2024-06-18
MINDACORP,2024-06-24,472.4,2025-05-30,522.75,10.66,9.96,2024-09-18,538.8,14.06,13.36,Max_Holding_Period,60,11.4,1.64,37.52,Strong,20.36,389.82,17.48,60,28344.0,4954.82,False,2.83,122.5,27.8,0.0202,2024-06-21
DMART,2024-06-24,4792.0,2025-05-30,4002.1,-16.48,-17.18,2024-09-18,5265.2,9.87,9.17,Max_Holding_Period,60,2.7,1.46,295.71,Strong,196.17,4203.49,12.28,8,38336.0,4708.12,False,3.83,122.46,26.2,0.2045,2024-06-21
RALLIS,2024-06-26,315.1,2025-05-30,320.06,1.57,0.87,2024-09-20,322.3,2.28,1.58,Max_Holding_Period,60,11.9,2.22,61.51,Strong,16.65,258.03,18.11,87,27413.7,4965.53,False,2.74,150.9,30.0,0.0133,2024-06-25
MSUMI,2024-06-26,50.33,2025-05-30,38.59,-23.34,-24.04,2024-09-20,46.12,-8.37,-9.07,Max_Holding_Period,60,8.6,3.22,105.48,Strong,1.76,44.2,12.18,815,41021.67,4994.98,False,4.1,204.63,27.4,0.0021,2024-06-25
MSUMI,2024-07-01,50.23,2025-05-30,38.59,-23.19,-23.89,2024-09-25,47.48,-5.48,-6.18,Max_Holding_Period,60,7.6,2.59,111.23,Strong,1.72,44.23,11.95,832,41794.13,4996.16,False,4.18,173.9,29.3,0.0021,2024-06-28
ELGIEQUIP,2024-07-01,718.45,2025-05-30,535.2,-25.51,-26.21,2024-09-25,691.4,-3.77,-4.47,Max_Holding_Period,60,11.1,2.05,42.48,Strong,30.3,589.85,17.9,38,27301.1,4886.87,False,2.73,143.17,30.3,0.0299,2024-06-28
CUB,2024-07-03,125.25,2025-05-30,146.77,17.19,16.49,2024-09-27,122.89,-1.89,-2.59,Max_Holding_Period,60,8.6,2.38,114.6,Strong,3.79,108.89,13.07,305,38201.25,4991.0,False,3.82,162.69,28.7,0.0052,2024-07-02
GOKEX,2024-07-08,940.0,2025-05-30,990.85,5.41,4.71,2024-10-03,920.9,-2.03,-2.73,Max_Holding_Period,60,10.0,1.34,22.9,Strong,37.23,791.49,15.8,33,31020.0,4900.97,False,3.1,108.96,26.2,0.0386,2024-07-05
APLLTD,2024-07-08,998.0,2025-05-30,1018.05,2.01,1.31,2024-10-03,1241.15,24.36,23.66,Max_Holding_Period,60,5.3,2.41,25.96,Strong,39.56,879.32,11.89,42,41916.0,4984.65,False,4.19,167.2,25.5,0.0407,2024-07-05
APLLTD,2024-07-10,985.35,2025-05-30,1018.05,3.32,2.62,2024-10-07,1217.95,23.61,22.91,Max_Holding_Period,60,3.6,2.0,26.99,Strong,37.27,873.54,11.35,44,43355.4,4919.83,False,4.34,148.62,26.0,0.0398,2024-07-09
ICIL,2024-07-10,412.8,2025-05-30,291.8,-29.31,-30.01,2024-10-07,350.35,-15.13,-15.83,Stop_Loss_Hit,60,9.1,4.64,34.09,Strong,19.67,353.77,14.3,84,34675.2,4958.1,False,3.47,274.79,26.3,0.0169,2024-07-09
LAURUSLABS,2024-07-15,464.5,2025-05-30,609.6,31.24,30.54,2024-08-13,419.85,-9.61,-10.31,Stop_Loss_Hit,20,5.3,2.43,102.85,Strong,13.4,422.0,9.15,117,54346.5,4972.29,False,5.43,168.19,29.3,0.0189,2024-07-12
APLLTD,2024-07-15,993.45,2025-05-30,1018.05,2.48,1.78,2024-10-10,1190.8,19.87,19.17,Max_Holding_Period,60,5.0,2.11,29.47,Strong,37.49,880.97,11.32,44,43711.8,4949.06,False,4.37,152.65,27.6,0.0403,2024-07-12
