Stock,Reason
360ONE,Not above 150MA/200MA
3MINDIA,Not above 150MA/200MA
AADHARHFC,Not above 150MA/200MA
AARTIDRUGS,Not above 150MA/200MA
AARTIIND,MA alignment failed (50>150>200)
AARTIPHARM,Not above 150MA/200MA
AAVAS,Not above 150MA/200MA
ABB,No fresh 50MA crossover in last 15 trading days - trend too old
ABBOTINDIA,Not above 150MA/200MA
ABCAPITAL,MA alignment failed (50>150>200)
ABDL,Not above 150MA/200MA
ABFRL,Not above 150MA/200MA
ABLBL,Insufficient history as of FROM_DATE (212 rows)
ABREL,Not above 150MA/200MA
ABSLAMC,MA alignment failed (50>150>200)
ACC,Not above 150MA/200MA
ACE,Not above 150MA/200MA
ACI,MA alignment failed (50>150>200)
ACMESOLAR,MA alignment failed (50>150>200)
ACUTAAS,No fresh 50MA crossover in last 15 trading days - trend too old
ADANIENSOL,"Too extended above 50MA (23.0%) - already flown, not fresh"
ADANIENT,MA alignment failed (50>150>200)
ADANIGREEN,MA alignment failed (50>150>200)
ADANIPORTS,No fresh 50MA crossover in last 15 trading days - trend too old
ADANIPOWER,"Too extended above 50MA (33.9%) - already flown, not fresh"
ADVENZYMES,MA alignment failed (50>150>200)
AEGISLOG,Not above 150MA/200MA
AEGISVOPAK,Insufficient history as of FROM_DATE (228 rows)
AEQUS,Insufficient history as of FROM_DATE (96 rows)
AETHER,No fresh 50MA crossover in last 15 trading days - trend too old
AFCONS,Not above 150MA/200MA
AFFLE,Not above 150MA/200MA
AGARWALEYE,Not above 150MA/200MA
AGL,Insufficient history as of FROM_DATE (0 rows)
AHLUCONT,Not above 150MA/200MA
AIAENG,"No volume surge (0.47x, need >=1.3x)"
AIIL,Not above 150MA/200MA
AJANTPHARM,Not enough distance above 52-week low
AKUMS,MA alignment failed (50>150>200)
ALIVUS,MA alignment failed (50>150>200)
ALKEM,Not above 150MA/200MA
ALKYLAMINE,Not above 150MA/200MA
ALOKINDS,Not above 150MA/200MA
AMBER,MA alignment failed (50>150>200)
AMBUJACEM,Not above 150MA/200MA
ANANDRATHI,No fresh 50MA crossover in last 15 trading days - trend too old
ANANTRAJ,Not above 150MA/200MA
ANGELONE,"Too extended above 50MA (19.2%) - already flown, not fresh"
ANTHEM,Insufficient history as of FROM_DATE (193 rows)
ANUP,Not above 150MA/200MA
ANURAS,"No volume surge (1.23x, need >=1.3x)"
APARINDS,"Too extended above 50MA (16.7%) - already flown, not fresh"
APLAPOLLO,Not above 150MA/200MA
APLLTD,Not above 150MA/200MA
APOLLO,MA alignment failed (50>150>200)
APOLLOHOSP,MA alignment failed (50>150>200)
APOLLOTYRE,Not above 150MA/200MA
APTUS,Not above 150MA/200MA
ARE&M,Not above 150MA/200MA
ARVIND,No fresh 50MA crossover in last 15 trading days - trend too old
ARVINDFASN,Not above 150MA/200MA
ASAHIINDIA,Not above 150MA/200MA
ASHAPURMIN,Not above 150MA/200MA
ASHOKA,Not above 150MA/200MA
ASHOKLEY,Not above 150MA/200MA
ASIANPAINT,Not above 150MA/200MA
ASKAUTOLTD,Not above 150MA/200MA
ASTERDM,No fresh 50MA crossover in last 15 trading days - trend too old
ASTRAL,Not enough distance above 52-week low
ASTRAMICRO,MA alignment failed (50>150>200)
ATGL,MA alignment failed (50>150>200)
ATHERENERG,Insufficient history as of FROM_DATE (247 rows)
ATLANTAELE,Insufficient history as of FROM_DATE (144 rows)
ATUL,MA alignment failed (50>150>200)
AUBANK,No fresh 50MA crossover in last 15 trading days - trend too old
AURIONPRO,Not above 150MA/200MA
AUROPHARMA,No fresh 50MA crossover in last 15 trading days - trend too old
AVALON,No fresh 50MA crossover in last 15 trading days - trend too old
AVANTIFEED,No fresh 50MA crossover in last 15 trading days - trend too old
AVL,MA alignment failed (50>150>200)
AWFIS,Not above 150MA/200MA
AWL,Not above 150MA/200MA
AXISBANK,Not above 150MA/200MA
AXISCADES,"Too extended above 50MA (26.2%) - already flown, not fresh"
AZAD,"Too extended above 50MA (26.4%) - already flown, not fresh"
BAJAJ-AUTO,No fresh 50MA crossover in last 15 trading days - trend too old
BAJAJELEC,Not above 150MA/200MA
BAJAJFINSV,Not above 150MA/200MA
BAJAJHFL,Not above 150MA/200MA
BAJAJHLDNG,Not above 150MA/200MA
BAJFINANCE,Not above 150MA/200MA
BALAMINES,MA alignment failed (50>150>200)
BALKRISIND,Not above 150MA/200MA
BALRAMCHIN,MA alignment failed (50>150>200)
BALUFORGE,Not above 150MA/200MA
BANCOINDIA,Not above 150MA/200MA
BANDHANBNK,MA alignment failed (50>150>200)
BANKBARODA,Not above 150MA/200MA
BANKINDIA,Not above 150MA/200MA
BATAINDIA,Not above 150MA/200MA
BAYERCROP,Not above 150MA/200MA
BBOX,MA alignment failed (50>150>200)
BBTC,Not above 150MA/200MA
BDL,Not above 150MA/200MA
BECTORFOOD,Not above 150MA/200MA
BEL,"No volume surge (0.66x, need >=1.3x)"
